mm_id,tag_id,mm_kind,pole,x,y
1,0,1,2,-31444.203,-124654.425
2,0,1,2,-31451.643,-124661.105
3,0,1,2,-31459.115,-124667.745
4,0,1,2,-31466.618,-124674.358
5,0,1,2,-31474.133,-124680.949
6,0,1,2,-31481.642,-124687.550
7,0,1,2,-31489.155,-124694.143
8,0,1,2,-31496.663,-124700.729
9,0,1,2,-31504.164,-124707.327
10,0,1,2,-31511.670,-124713.905
11,0,1,2,-31519.186,-124720.497
12,0,1,2,-31526.691,-124727.088
13,0,1,2,-31534.201,-124733.676
14,0,1,2,-31541.711,-124740.273
15,0,1,2,-31549.232,-124746.855
16,0,1,2,-31556.740,-124753.453
17,0,1,2,-31564.243,-124760.038
18,0,1,2,-31571.758,-124766.628
19,0,1,2,-31579.264,-124773.227
20,0,1,2,-31586.751,-124779.799
21,0,1,2,-31594.271,-124786.392
22,0,1,2,-31601.784,-124792.989
23,0,1,2,-31609.301,-124799.592
24,0,1,2,-31616.808,-124806.181
25,0,1,2,-31624.308,-124812.773
26,0,1,2,-31631.822,-124819.359
27,0,1,2,-31639.342,-124825.956
28,0,1,2,-31646.853,-124832.558
29,0,1,2,-31654.372,-124839.147
30,0,1,2,-31661.882,-124845.733
31,0,1,2,-31669.402,-124852.326
32,0,1,2,-31676.907,-124858.920
33,0,1,2,-31684.428,-124865.521
34,0,1,2,-31691.939,-124872.110
35,0,1,2,-31699.449,-124878.712
36,0,1,2,-31706.966,-124885.302
37,0,1,2,-31714.489,-124891.891
38,0,1,2,-31721.990,-124898.499
39,0,1,2,-31729.512,-124905.086
40,0,1,2,-31737.037,-124911.682
41,0,1,2,-31744.550,-124918.274
42,0,1,2,-31752.068,-124924.867
43,0,1,2,-31759.587,-124931.461
44,0,1,2,-31767.104,-124938.063
45,0,1,2,-31774.625,-124944.659
46,0,1,2,-31782.133,-124951.257
101,0,1,2,-31804.854,-124953.187
102,0,1,2,-31797.349,-124946.558
103,0,1,2,-31789.853,-124939.949
104,0,1,2,-31782.349,-124933.348
105,0,1,2,-31774.824,-124926.743
106,0,1,2,-31767.307,-124920.150
107,0,1,2,-31759.788,-124913.557
108,0,1,2,-31752.261,-124906.964
109,0,1,2,-31744.746,-124900.369
110,0,1,2,-31737.225,-124893.776
111,0,1,2,-31729.723,-124887.180
112,0,1,2,-31722.201,-124880.572
113,0,1,2,-31714.689,-124874.004
114,0,1,2,-31707.173,-124867.414
115,0,1,2,-31699.651,-124860.812
116,0,1,2,-31692.142,-124854.213
117,0,1,2,-31684.628,-124847.630
118,0,1,2,-31677.116,-124841.037
119,0,1,2,-31669.592,-124834.435
120,0,1,2,-31662.098,-124827.873
121,0,1,2,-31654.584,-124821.268
122,0,1,2,-31647.067,-124814.681
123,0,1,2,-31639.571,-124808.073
124,0,1,2,-31632.067,-124801.486
125,0,1,2,-31624.542,-124794.906
126,0,1,2,-31617.031,-124788.313
127,0,1,2,-31609.514,-124781.711
128,0,1,2,-31601.998,-124775.112
129,0,1,2,-31594.473,-124768.522
130,0,1,2,-31586.980,-124761.938
131,0,1,2,-31579.450,-124755.342
132,0,1,2,-31571.934,-124748.746
133,0,1,2,-31564.407,-124742.150
134,0,1,2,-31556.896,-124735.551
135,0,1,2,-31549.382,-124728.952
136,0,1,2,-31541.862,-124722.347
137,0,1,2,-31534.336,-124715.754
138,0,1,2,-31526.819,-124709.155
139,0,1,2,-31519.290,-124702.568
140,0,1,2,-31511.774,-124695.960
141,0,1,2,-31504.254,-124689.349
142,0,1,2,-31496.741,-124682.765
143,0,1,2,-31489.222,-124676.157
144,0,1,2,-31481.705,-124669.564
145,0,1,2,-31474.189,-124662.962
146,0,1,2,-31466.692,-124656.332
